undermining,0.3010299956639812,-Infinity,0.3010299956639812
nicely,0.2218487392619689,-0.4771212417766785,0.2218487392619689
pills,0.3010299956639812,-Infinity,0.3010299956639812
half,-0.05115251921163526,0.04575751126944929,0.04575751126944929
don't,-0.07255066244207206,0.06214790329738202,0.06214790329738202
surgeon,0.3010299956639812,-Infinity,0.3010299956639812
withdrawn,-Infinity,0.3010299956639812,0.3010299956639812
oversee,0.3010299956639812,-Infinity,0.3010299956639812
salary,0.3010299956639812,-Infinity,0.3010299956639812
pretend,-Infinity,0.3010299956639812,0.3010299956639812
equations,0.3010299956639812,-Infinity,0.3010299956639812
wreck,0.3010299956639812,-Infinity,0.3010299956639812
satan,-Infinity,0.3010299956639812,0.3010299956639812
ted,0.3010299956639812,-Infinity,0.3010299956639812
drunk,-Infinity,0.3010299956639812,0.3010299956639812
cranking,-Infinity,0.3010299956639812,0.3010299956639812
norristown's,0.3010299956639812,-Infinity,0.3010299956639812
pick,0.3010299956639812,-Infinity,0.3010299956639812
legs,0.3010299956639812,-Infinity,0.3010299956639812
rabbit,0.3010299956639812,-Infinity,0.3010299956639812
ten,-0.3010299956639812,0.17609125905568124,0.17609125905568124
hooper,0.3010299956639812,-Infinity,0.3010299956639812
sake,-Infinity,0.3010299956639812,0.3010299956639812
pics,-Infinity,0.3010299956639812,0.3010299956639812
energy,-0.17609124611269728,0.12493874955128392,0.12493874955128392
clich,-Infinity,0.3010299956639812,0.3010299956639812
meaty,-Infinity,0.3010299956639812,0.3010299956639812
solid,0.17609125905568124,-0.3010299956639812,0.17609125905568124
&,-0.35218251487561647,0.19188553363490404,0.19188553363490404
',-0.09691000653656438,0.0791812633049367,0.0791812633049367
narrative,0.0,0.0,0.0
competent,0.0,0.0,0.0
*,-0.845098020599781,0.26884530034520976,0.26884530034520976
require,-Infinity,0.3010299956639812,0.3010299956639812
standards,0.3010299956639812,-Infinity,0.3010299956639812
0,-Infinity,0.3010299956639812,0.3010299956639812
strategist,-Infinity,0.3010299956639812,0.3010299956639812
1,0.0,0.0,0.0
2,0.03778857383238376,-0.04139267221524107,0.03778857383238376
cds,0.3010299956639812,-Infinity,0.3010299956639812
3,-Infinity,0.3010299956639812,0.3010299956639812
moore,0.3010299956639812,-Infinity,0.3010299956639812
jessica's,0.3010299956639812,-Infinity,0.3010299956639812
4,-0.3979400022005456,0.2041199891274168,0.2041199891274168
size,0.0,0.0,0.0
left,-0.09691000653656438,0.0791812633049367,0.0791812633049367
5,-0.3010299956639812,0.17609125905568124,0.17609125905568124
temper,-Infinity,0.3010299956639812,0.3010299956639812
6,0.0,0.0,0.0
7,-Infinity,0.3010299956639812,0.3010299956639812
8,0.0791812633049367,-0.09691000653656438,0.0791812633049367
9,-0.3979400022005456,0.2041199891274168,0.2041199891274168
remar,-Infinity,0.3010299956639812,0.3010299956639812
object,-Infinity,0.3010299956639812,0.3010299956639812
poorly,-0.17609124611269728,0.12493874955128392,0.12493874955128392
telling,0.15490197034013037,-0.24303802927181864,0.15490197034013037
baby's,0.3010299956639812,-Infinity,0.3010299956639812
spends,-0.17609124611269728,0.12493874955128392,0.12493874955128392
hang,-Infinity,0.3010299956639812,0.3010299956639812
role,0.1845244345574573,-0.32735893276845734,0.1845244345574573
roll,0.3010299956639812,-Infinity,0.3010299956639812
notable,0.3010299956639812,-Infinity,0.3010299956639812
childs',0.3010299956639812,-Infinity,0.3010299956639812
turn,-0.06694678531628516,0.057991966392162565,0.057991966392162565
hans,-Infinity,0.3010299956639812,0.3010299956639812
example,-0.3010299956639812,0.17609125905568124,0.17609125905568124
gold,0.3010299956639812,-Infinity,0.3010299956639812
minds,0.0,0.0,0.0
result,-Infinity,0.3010299956639812,0.3010299956639812
characters,-0.04420367543503781,0.04011723386691045,0.04011723386691045
same,-0.17609124611269728,0.12493874955128392,0.12493874955128392
quiet,0.0,0.0,0.0
underused,-Infinity,0.3010299956639812,0.3010299956639812
'r',-Infinity,0.3010299956639812,0.3010299956639812
ringwald's,0.3010299956639812,-Infinity,0.3010299956639812
poachers,-Infinity,0.3010299956639812,0.3010299956639812
hand,0.19188553363490404,-0.35218251487561647,0.19188553363490404
february's,-Infinity,0.3010299956639812,0.3010299956639812
b,-Infinity,0.3010299956639812,0.3010299956639812
tsang,0.3010299956639812,-Infinity,0.3010299956639812
c,-Infinity,0.3010299956639812,0.3010299956639812
d,0.0,0.0,0.0
e,-Infinity,0.3010299956639812,0.3010299956639812
f,0.3010299956639812,-Infinity,0.3010299956639812
artistic,0.3010299956639812,-Infinity,0.3010299956639812
falters,0.3010299956639812,-Infinity,0.3010299956639812
j,0.12493874955128392,-0.17609124611269728,0.12493874955128392
k,0.3010299956639812,-Infinity,0.3010299956639812
gibson,0.3010299956639812,-Infinity,0.3010299956639812
eating,0.12493874955128392,-0.17609124611269728,0.12493874955128392
l,-0.26324142183159743,0.1627273104406837,0.1627273104406837
m,0.3010299956639812,-Infinity,0.3010299956639812
congolese,0.3010299956639812,-Infinity,0.3010299956639812
beliefs,0.3010299956639812,-Infinity,0.3010299956639812
neighbor,-Infinity,0.3010299956639812,0.3010299956639812
n,0.3010299956639812,-Infinity,0.3010299956639812
gripping,0.3010299956639812,-Infinity,0.3010299956639812
o,-Infinity,0.3010299956639812,0.3010299956639812
straight,0.3010299956639812,-Infinity,0.3010299956639812
p,0.3010299956639812,-Infinity,0.3010299956639812
q,-Infinity,0.3010299956639812,0.3010299956639812
r,0.0,0.0,0.0
destroyed,0.3010299956639812,-Infinity,0.3010299956639812
